category,doi,year,venue,title,evidence_level,support_from_abstract_or_metadata
repository_health,10.1016/j.infsof.2020.106274,2020,Information and Software Technology,Is this GitHub Project Maintained? Measuring the Level of Maintenance Activity of Open-Source Projects,empirical study,Directly supports maintenance/activity signals for project search ranking
repository_stars,10.1016/j.jss.2018.09.016,2018,Journal of Systems and Software,What's in a GitHub Star? Understanding Repository Starring Practices in a Social Coding Platform,empirical study,Shows stars are socially meaningful but need careful interpretation
repository_curation,10.1007/s10664-020-09825-8,2020,Empirical Software Engineering,PHANTOM: Curating GitHub for engineered software projects using time-series clustering,curation method,Supports filtering toy/generated/non-engineered repositories in GitHub-scale search
repository_popularity,10.1145/2972958.2972966,2016,ACM conference,Predicting the Popularity of GitHub Repositories,empirical/modeling study,Supports popularity prediction features but warns against popularity-only discovery
knowledge_mining,10.1007/978-3-319-74730-9_33,2018,Springer proceedings,Developer-Centric Knowledge Mining from Large Open-Source Software Repositories (CROSSMINER),tooling/project,Supports repository knowledge mining and recommender-style discovery
software_archive,10.48550/arxiv.2010.16196,2020,arXiv,World of Code: Enabling a Research Workflow for Mining and Analyzing the Universe of Open Source VCS data,infrastructure paper,Supports cross-forge/source-control corpus approach beyond GitHub
supply_chain,10.1007/978-3-030-52683-2_2,2020,DIMVA,Backstabber’s Knife Collection: A Review of Open Source Software Supply Chain Attacks,security review,Supports adding supply-chain risk signals to repository search and selection
package_supply_chain,10.1145/3715728,2025,Proceedings of the ACM on Software Engineering,Pinning Is Futile: You Need More Than Local Dependency Versioning to Defend against Supply Chain Attacks,security study,Supports dependency graph and package registry signals beyond source forge metadata
code_search,10.1145/3604905,2023,ACM,Big Code Search: A Bibliography,bibliography,Supports semantic/code-search feature family for repository discovery
semantic_code_search,10.1109/tse.2022.3233901,2021,IEEE Transactions on Software Engineering,GraphSearchNet: Enhancing GNNs via Capturing Global Dependencies for Semantic Code Search,semantic search method,Supports graph/neural semantic code retrieval as an advanced search mode
